name,description,release_date,platforms
Dark Sun: Shattered Lands,"Dark Sun: Shattered Lands was released in 1993 and is the first Dungeons and Dragons game to use the Dark Sun campaign setting. While fairly obscure outside of enthusiast circles, it is praised for its tactical, turn-based combat.",,['PC']
Jurassic Park: Survival,"Planned to coincide with Jurassic Park 3, Survival was to see players take on dinosaurs and terrorists alike as they fought to escape Isla Sorna. The game, however, quickly went extinct.",,['PlayStation 2']
Black Myth: Wukong,An adventure/brawler based on Journey to the West and other Chinese literature and myth,2024-08-20,"['PC', 'PlayStation 5', 'Xbox Series X|S']"
Indiana Jones and the Great Circle,"Indiana Jones and the Great Circle follows the titular character on his journey to discover the mysterious ""Great Circle"" and stop the villainous forces trying to exploit its power in a globetrotting action-adventure game from the makers of Wolfenstein.",2024-12-09,"['PC', 'PlayStation 5', 'Xbox Series X|S']"
Cyberpunk 2077,An open-world action role-playing game by CD Projekt RED based on the pen and paper RPG Cyberpunk 2020.,2020-12-10,"['PC', 'Xbox One', 'PlayStation 4', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S']"
Baldur's Gate 3,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. 
Combat is Turn-based instead of Real-Time with Pauses style combat as previous main installments in the Baldur's Gate series",2023-08-03,"['Mac', 'PC', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S']"
Star Wars Jedi: Fallen Order,"An action-adventure game in the Star Wars series from the studio behind the Titanfall series, following a Jedi Padawan who turns fugitive after escaping the Jedi Purge.",2019-11-15,"['PC', 'Xbox One', 'PlayStation 4', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S']"
Hollow Knight: Silksong,A sequel to Hollow Knight following the adventures of Hornet.,,"['Mac', 'PC', 'PlayStation 4', 'Linux', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S']"
Cyberpunk 2077,An open-world action role-playing game by CD Projekt RED based on the pen and paper RPG Cyberpunk 2020.,2020-12-10,"['PC', 'Xbox One', 'PlayStation 4', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Apex Legends,"A free-to-play battle royale spin-off of the Titanfall series, trading the series' trademark mechs for last-squad-standing action starring a variety of unique ""Legends"".",2019-02-04,"['PC', 'iPhone', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
God of War Collection,A high definition re-release of God of War and God of War II for PlayStation 3.,2009-11-17,"['PlayStation 3', 'PlayStation Network (PS3)', 'PlayStation Vita', 'PlayStation Network (Vita)']"
God of War III,God of War III puts players back in the role of Kratos to continue his brutal and bloody war against Olympus as he sets his sights on Zeus himself.,2010-03-16,"['PlayStation 3', 'PlayStation 4', 'PlayStation 5']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Apex Legends,"A free-to-play battle royale spin-off of the Titanfall series, trading the series' trademark mechs for last-squad-standing action starring a variety of unique ""Legends"".",2019-02-04,"['PC', 'iPhone', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']"
Battlefield 1942: The Road to Rome,"An expansion pack for Battlefield 1942, continuing the battle with the Italian Campaign.",2003-02-04,"['Mac', 'PC']"
Battlefield V,Battlefield V sees the series return to a World War II setting for the first time in nearly a decade.,2018-11-15,"['PC', 'Xbox One', 'PlayStation 4']"
Battlefield V,Battlefield V sees the series return to a World War II setting for the first time in nearly a decade.,2018-11-15,"['PC', 'Xbox One', 'PlayStation 4']"
MacArthur's War: Battles for Korea,,,"['Apple II', 'Commodore 64', 'PC']"
MacArthur's War: Battles for Korea,,,"['Apple II', 'Commodore 64', 'PC']"
Bass Avenger,Put on some tight red spandex pants and grab your four-string in this atrocious fishing game from S&amp;S Interactive.,2000-09-28,"['Mac', 'PC']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Apex Legends,"A free-to-play battle royale spin-off of the Titanfall series, trading the series' trademark mechs for last-squad-standing action starring a variety of unique ""Legends"".",2019-02-04,"['PC', 'iPhone', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']"
Battlefield Vietnam,"The Battlefield series take you to Vietnam to fight through jungles and urban areas by land, sea or air.",2004-03-15,['PC']
Battlefield Vietnam,"The Battlefield series take you to Vietnam to fight through jungles and urban areas by land, sea or air.",2004-03-15,['PC']
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Battlefield Vietnam,"The Battlefield series take you to Vietnam to fight through jungles and urban areas by land, sea or air.",2004-03-15,['PC']
Battlefield Vietnam,"The Battlefield series take you to Vietnam to fight through jungles and urban areas by land, sea or air.",2004-03-15,['PC']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
Battlefield V,Battlefield V sees the series return to a World War II setting for the first time in nearly a decade.,2018-11-15,"['PC', 'Xbox One', 'PlayStation 4']"
Tom Clancy's Rainbow Six: Lockdown,The fourth mainline game in the Tom Clancy's Rainbow Six series.,2005-09-06,"['PlayStation 2', 'GameCube', 'Xbox', 'PC']"
Tom Clancy's Rainbow Six: Rogue Spear,Tom Clancy's Rainbow Six: Rogue Spear is a tactical first-person shooter computer game developed and published by Red Storm Entertainment and Ubisoft. It is the sequel to the critically acclaimed Rainbow Six game based on the Tom Clancy novel of the same name.,1999-09-22,"['Game Boy Advance', 'Mac', 'PlayStation', 'Dreamcast', 'PC']"
Tom Clancy's Rainbow Six Siege,Rainbow Six Siege is a competitive multiplayer first-person shooter developed by Ubisoft Montreal. Players chose from a large roster of Operators with their own weapons and abilities to win round-based attack and defend matches.,2015-12-01,"['PC', 'Xbox One', 'PlayStation 4', 'Google Stadia', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Call of Duty 3,"The third main installment of the well-known first-person shooter series, Call of Duty 3 returns to World War II Europe in an inter-connected campaign that switches between America, British, Canadian, and Polish forces during the liberation of France.",2006-11-07,"['PlayStation 2', 'Xbox 360', 'Xbox', 'PlayStation 3', 'Wii', 'Xbox 360 Games Store']"
Anomaly Warzone Earth Mobile Campaign,"A new 15 mission campaign taken from the mobile version of Anomaly: Warzone Earth and translated for PC, Mac, and Linux.",2013-11-07,"['Mac', 'PC', 'Android', 'Linux']"
Call of Duty: Warzone 2.0,"A sequel to the free-to-play large-scale multiplayer spin-off of the Call of Duty series, integrating with the series' 19th and 20th entries while adding a new extraction-shooter game mode.",2022-11-16,"['PC', 'Xbox One', 'PlayStation 4', 'PlayStation 5', 'Xbox Series X|S']"
Call of Duty: Modern Warfare 3,"The last installment of the Modern Warfare trilogy brings World War 3 to the world of Call of Duty. While the U.S., British, and French armed forces try to push back the Russian invasion, the disavowed Task Force 141 begin their hunt for international terrorist Vladimir Makarov.",2011-11-08,"['Mac', 'Xbox 360', 'PlayStation 3', 'Wii', 'Nintendo DS', 'Xbox 360 Games Store', 'PlayStation Network (PS3)', 'PC']"
Call of Duty: Modern Warfare,"The 16th installment of the Call of Duty series is a reboot of the modern-military Modern Warfare sub-series, reworking characters and events into a 2019 setting.",2019-10-25,"['PC', 'Xbox One', 'PlayStation 4']"
Battlefield V,Battlefield V sees the series return to a World War II setting for the first time in nearly a decade.,2018-11-15,"['PC', 'Xbox One', 'PlayStation 4']"
Bass Avenger,Put on some tight red spandex pants and grab your four-string in this atrocious fishing game from S&amp;S Interactive.,2000-09-28,"['Mac', 'PC']"
God of War Collection,A high definition re-release of God of War and God of War II for PlayStation 3.,2009-11-17,"['PlayStation 3', 'PlayStation Network (PS3)', 'PlayStation Vita', 'PlayStation Network (Vita)']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Fritz 9: Play Chess,"Fritz 9: Play Chess is a chess game for the PC developed by ChessBase. It features and advanced chess engine, video tutorials, online play and is able to analyze your chess ability as well as those of great players from the past.",2005-12-15,['PC']
Battlefield V,Battlefield V sees the series return to a World War II setting for the first time in nearly a decade.,2018-11-15,"['PC', 'Xbox One', 'PlayStation 4']"
God of War Collection,A high definition re-release of God of War and God of War II for PlayStation 3.,2009-11-17,"['PlayStation 3', 'PlayStation Network (PS3)', 'PlayStation Vita', 'PlayStation Network (Vita)']"
Bass Avenger,Put on some tight red spandex pants and grab your four-string in this atrocious fishing game from S&amp;S Interactive.,2000-09-28,"['Mac', 'PC']"
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
God of War Collection,A high definition re-release of God of War and God of War II for PlayStation 3.,2009-11-17,"['PlayStation 3', 'PlayStation Network (PS3)', 'PlayStation Vita', 'PlayStation Network (Vita)']"
Battlefield V,Battlefield V sees the series return to a World War II setting for the first time in nearly a decade.,2018-11-15,"['PC', 'Xbox One', 'PlayStation 4']"
Battlefield 1942,"Battlefield 1942, the first in the acclaimed Battlefield franchise, pits Axis versus Allies in large-scale multiplayer battles.",2002-09-12,"['Mac', 'PC']"
Apex,"Apex lets the player make their own car company. The player gets to customize their company, choose between concept drawings and race them against licensed vehicles.",2003-02-17,['Xbox']
Racing Apex,An arcade style racing game meant to have a throw back visual style to classic early polygonal racing games such as Virtua Racing.,,"['Mac', 'PC', 'Wii U', 'Linux', 'Nintendo Switch']"
Forza Motorsport 6: Apex,"Apex takes elements from Forza Motorsport 6, brings them up to PC visual standards, and exists as a free game.",2016-09-06,['PC']
Operation Apex,Operation Apex is an underwater exploration and adventure game for HTC Vive.,2017-12-11,['PC']
Apex Construct,,2018-02-20,"['PC', 'PlayStation 4', 'Meta Quest']"
PUBG: Battlegrounds,"A survival-shooter led by the modder behind the Battle Royale mods for the ArmA series. It is one of the progenitors of the ""battle royale"" sub-genre, pitting 100 players in a large empty location where they must scavenge for weapons and fight to the death.",2017-03-23,"['PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Google Stadia']"
PUBG Mobile,A mobile version of PUBG.,2018-03-19,"['iPhone', 'Android']"
PUBG: Battlegrounds,"A survival-shooter led by the modder behind the Battle Royale mods for the ArmA series. It is one of the progenitors of the ""battle royale"" sub-genre, pitting 100 players in a large empty location where they must scavenge for weapons and fight to the death.",2017-03-23,"['PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Google Stadia']"
PUBG Mobile,A mobile version of PUBG.,2018-03-19,"['iPhone', 'Android']"
PUBG: Battlegrounds,"A survival-shooter led by the modder behind the Battle Royale mods for the ArmA series. It is one of the progenitors of the ""battle royale"" sub-genre, pitting 100 players in a large empty location where they must scavenge for weapons and fight to the death.",2017-03-23,"['PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Google Stadia']"
PUBG Mobile,A mobile version of PUBG.,2018-03-19,"['iPhone', 'Android']"
Apex,"Apex lets the player make their own car company. The player gets to customize their company, choose between concept drawings and race them against licensed vehicles.",2003-02-17,['Xbox']
PUBG: Battlegrounds,"A survival-shooter led by the modder behind the Battle Royale mods for the ArmA series. It is one of the progenitors of the ""battle royale"" sub-genre, pitting 100 players in a large empty location where they must scavenge for weapons and fight to the death.",2017-03-23,"['PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Google Stadia']"
PUBG: Battlegrounds,"A survival-shooter led by the modder behind the Battle Royale mods for the ArmA series. It is one of the progenitors of the ""battle royale"" sub-genre, pitting 100 players in a large empty location where they must scavenge for weapons and fight to the death.",2017-03-23,"['PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Google Stadia']"
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War II,"God of War II continues the story of Kratos as he wields his newly-bestowed god-like powers, much to the dismay and fear of the other gods.",2007-03-13,['PlayStation 2']
God of War III,God of War III puts players back in the role of Kratos to continue his brutal and bloody war against Olympus as he sets his sights on Zeus himself.,2010-03-16,"['PlayStation 3', 'PlayStation 4', 'PlayStation 5']"
God of War Saga,"God of War Saga is a compliation of previous God of War titles, remastered in HD and in one box.",2012-08-28,['PlayStation 3']
Elden Ring,Elden Ring by FromSoftware is a collaboration between Hidetaka Miyazaki and George R.R. Martin.,2022-02-25,"['PC', 'Xbox One', 'PlayStation 4', 'PlayStation 5', 'Xbox Series X|S']"
Elden Ring,Elden Ring by FromSoftware is a collaboration between Hidetaka Miyazaki and George R.R. Martin.,2022-02-25,"['PC', 'Xbox One', 'PlayStation 4', 'PlayStation 5', 'Xbox Series X|S']"
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War II,"God of War II continues the story of Kratos as he wields his newly-bestowed god-like powers, much to the dismay and fear of the other gods.",2007-03-13,['PlayStation 2']
God of War III,God of War III puts players back in the role of Kratos to continue his brutal and bloody war against Olympus as he sets his sights on Zeus himself.,2010-03-16,"['PlayStation 3', 'PlayStation 4', 'PlayStation 5']"
God of War Saga,"God of War Saga is a compliation of previous God of War titles, remastered in HD and in one box.",2012-08-28,['PlayStation 3']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War,"Play as the Spartan warrior, Kratos, as he cuts his way through armies of mythological creatures on a path to kill Ares, the God of War, and gain redemption for his past sins.",2005-03-22,['PlayStation 2']
God of War II,"God of War II continues the story of Kratos as he wields his newly-bestowed god-like powers, much to the dismay and fear of the other gods.",2007-03-13,['PlayStation 2']
God of War III,God of War III puts players back in the role of Kratos to continue his brutal and bloody war against Olympus as he sets his sights on Zeus himself.,2010-03-16,"['PlayStation 3', 'PlayStation 4', 'PlayStation 5']"
God of War: Chains of Olympus,Kratos packs up and moves to the PSP in this first portable installment in the God of War series that serves as a prequel to the original.,2008-03-04,"['PlayStation Portable', 'PlayStation 3', 'PlayStation Network (PS3)', 'PlayStation Network (PSP)']"
God of War Collection,A high definition re-release of God of War and God of War II for PlayStation 3.,2009-11-17,"['PlayStation 3', 'PlayStation Network (PS3)', 'PlayStation Vita', 'PlayStation Network (Vita)']"
Halo Wars,Halo Wars is a real-time strategy game for the Xbox 360. Join the Halo Wars crew on the UNSC ship CFV-88 Spirit of Fire and engage the Covenant head-on in an attempt to hold on to the recently taken human colony of Harvest. All Units!,2009-02-26,"['Xbox 360', 'Xbox 360 Games Store', 'PC', 'Xbox One']"
Eschalon: Book II,Eschalon: Book II is an isometric turn-based single player computer role-playing game by Basilisk Games. The sequel to Eschalon: Book I.,2010-05-12,"['Mac', 'PC', 'Linux']"
Xbox Live Arcade Game Pack,Three Xbox Live Arcade games bundled onto one disc. It was shipped with a black Xbox 360 controller.,2009-11-03,['Xbox 360']
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
God of War III,God of War III puts players back in the role of Kratos to continue his brutal and bloody war against Olympus as he sets his sights on Zeus himself.,2010-03-16,"['PlayStation 3', 'PlayStation 4', 'PlayStation 5']"
Mario Teaches Typing 2,Mario Teaches Typing 2 is the sequel to the original with new typing games,1997-04-03,['PC']
Mario Teaches Typing 2,Mario Teaches Typing 2 is the sequel to the original with new typing games,1997-04-03,['PC']
Fortnite,"Originally a co-operative looter shooter from the studios behind Unreal Tournament and Gears of War, Fortnite became one of the most successful PvP ""battle royale"" games and later became its own platform for several types of games.",2017-07-25,"['Mac', 'PC', 'iPhone', 'iPad', 'Android', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S', 'Amazon Luna']"
Mario Teaches Typing 2,Mario Teaches Typing 2 is the sequel to the original with new typing games,1997-04-03,['PC']
Nebulous: Fleet Command,NEBULOUS: Fleet Command ,,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
Super Mario Bros. 3: Super Mario Advance 4,Super Mario Advance 4 is the Game Boy Advance remake of Super Mario Bros. 3 on the NES.,2003-07-11,"['Game Boy Advance', 'Wii U', 'Nintendo Switch']"
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
The Real Deal 2,The Real Deal 2 is a collection of 17 classic card games.,1999-12-31,['PC']
